BGC0000001	JF752342	21656887
BGC0000002	CP007155	25301375
BGC0000003	AB179766	10.1007/s10327-004-0170-3
BGC0000004	AB196490	16391082
BGC0000005	AY371490	8953728;12749588;11956746
BGC0000006	AY510451	15528514
BGC0000007	AY510452	12382060;15528514
BGC0000008	AY510453	15528514
BGC0000009	AY510454	15528514
BGC0000010	AY510455	16108793
BGC0000011	AY092402	19537208
BGC0000012	AB120221	6436801;16356847
BGC0000013	BN001304	22510154
BGC0000014	DQ897667	17185223
BGC0000015	AF357202;AY639386	11451671;16079135
BGC0000016	AY636001	15563836
BGC0000017	FJ477836	25108149;24311576;21786780;20675499;19954230;19489636;19447947;21873484;23277585
BGC0000018	EU220288	18802638
BGC0000019	EU232693	18802638
BGC0000020	AF453501	12060743
BGC0000021	JF819834	21869849
BGC0000022	AACD01000015	19199437
BGC0000023	AM850130	17919655
BGC0000024	AJ575648	13174453;770405;11079808;14700630;15038705;15612710;15645471;15812854;16292785;17718517;17763486;17765264;18458342;20798054;21280577;21678538;22799266;23606628;24402879;24973817;20662518
BGC0000025	AB032523	10449723
BGC0000026	AF333038	11410376;11181344;11832501;15489167;15640214;16242656;16537546;17113996;19609289;15581897;12828631;10770739;4435163
BGC0000027	KC148521	23504076
BGC0000028	GU390405.1	23362147
BGC0000029	FJ872523	19875084
BGC0000030	HF679027	17927749
BGC0000031	AJ580915	15112998;14651102;15186422
BGC0000032	HM452329	21173184
BGC0000033	AF497482	12183629
BGC0000034	AY310323	14652074
BGC0000035	AY509120	15561847
BGC0000036	DQ116941	16793515;16677607;20534347;19266533
BGC0000037	BN001301	18978088
BGC0000038	AL645882	12000953;8843436
BGC0000039	AB072893	18667169;12436257;12172803;12242508
BGC0000040	DQ149987	16207901
BGC0000041	AF098795	9860992
BGC0000042	AB818354	24014395
BGC0000043	GQ412749	19835378
BGC0000044	CP002271	25102237
BGC0000045	JX971534	23335766
BGC0000046	FJ977165	19737099
BGC0000047	AY118081	17053005
BGC0000048	DQ149246	16649078
BGC0000049	DQ272521;DQ272522	16724457
BGC0000050	DQ272520	16724457
BGC0000051	KC894072	23801186
BGC0000052	AY899214	15844935
BGC0000053	GP697151	US7595187
BGC0000054	AY623658	15257441
BGC0000055	AM420293	22187221
BGC0000056	AY267372	14528002
BGC0000057	AACD01000135	20174687;9448638;19666480
BGC0000058	AB469193	20589823
BGC0000059	BA000030	20536237
BGC0000060	HQ434551	23352138
BGC0000061	AY310323	14652074
BGC0000062	AF155773	10413619;11728154;12423021;12620260;14602658;16536629;17483290
BGC0000063	EU449979	18375156
BGC0000064	AY604568	15368570
BGC0000065	GU300145	20662933;25336658
BGC0000066	AY179507	12586396
BGC0000067	DQ249341	18600054
BGC0000068	DQ914285	18214443
BGC0000069	KF479198	24298873
BGC0000070	GU574478	23978092;22942257;22191585;20534346;15985553;588267;864701;4583106
BGC0000072	KM361622	25287056
BGC0000073	AB241068	16568718
BGC0000074	AY947889	16085885
BGC0000075	JX504844	24501776
BGC0000076	EU520417	18567690
BGC0000077	EU520418	18567690
BGC0000078	AB767280	23921821
BGC0000079	FJ545274	19301315
BGC0000080	DQ897668	17185223
BGC0000081	JX679499	23360970;23633564;23844627
BGC0000082	EU301739	17985890
BGC0000083	GQ274954	25405956;17997563
BGC0000084	JQ793783	17342048
BGC0000085	AB088224	12791134;10954087;10767533;9836424
BGC0000086	AB449340	18710235;19129623
BGC0000087	FM173265	19025863
BGC0000088	AF141924	10334994
BGC0000089	AF141925	10334994
BGC0000090	EU827593	18800759
BGC0000091	KF711829	24575817
