BGC0001186	misakinolide	6441172	
BGC0001252	ACR-toxin	54720478	
BGC0001183	lobophorin	100983786	
BGC0000521	lacticin 481	101253615	
BGC0001553	clifednamide	102048821	
BGC0000472	anacyclamide	102170967	
BGC0000047	dihydrochalcomycin	102274629	"Not mentioned in the paper, but structure looks right."
BGC0001143	azanigerone	122198269	
BGC0001548	citrulassin A	124080860	O=C(N)C[C@@H](C(O)=O)NC([C@H](CCCCN)NC([C@H](CO)NC([C@H](CC(C)C)NC([C@H](C(C)C)NC([C@H](CC(C)C)NC([C@@H](NC([C@H](C1)NC([C@H](CC(N)=O)NC(CNC([C@H](C)NC([C@H](CC(C)C)NC(CNC([C@H](CC(C)C)NC([C@H](CC(C)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCCNC(N)=O)=O)=O)=O)=O)=O)=O
BGC0000061	FR-008	118984420;11953885;101492346;441142;76965088	"Other structures:11953885, 101492346, 441142, 76965088"
BGC0001195	nocardiopsin	46192011;46192154;102314626;102314627	
BGC0001305	fujikurins	54704427;132558392;132558393;122183676	"Fujikurin A,B,C,D --> Fujikurin A is identical to CR377"
BGC0001124	pyranonigrin E	chemspider:58827644	
BGC0001559	crocagin A	chemspider:59718412	CN[C@@H]([C@@H](CC)C)C(N[C@@H]1C(N([C@@]2([H])N([C@@H]1c3ccc(O)cc3)c4ccccc4[C@@]52[H])[C@@H]([C@H]5OC(N)=O)C(O)=O)=O)=O
BGC0000549	salivaricin D	mol_mass	3466.6494
BGC0000483	Aeruginosamide C	mol_mass	673.3298
BGC0001612	ambiguine	mol_mass	372.2565
BGC0001600	fusarielin H	mol_mass	386.2821
BGC0001614	hassallidin E	mol_mass	1409.7177
BGC0001559	crocagin B	mol_mass	549.2223
BGC0001197	frankiamicin	mol_mass	448.0794
BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	mol_mass	349.1597
BGC0000420	histidyltryptophanyldiketopiperazine	mol_mass	323.1382
BGC0000429	Skyllamycin A	mol_mass	1482.6707
BGC0000429	Skyllamycin B	mol_mass	1468.6551
BGC0000443	thanamycin	mol_mass	1289.5794
BGC0000549	salivaricin D	molecular_formula	C154H235N45O37S5
BGC0000483	Aeruginosamide C	molecular_formula	C37H47N5O5S
BGC0001612	ambiguine	molecular_formula	C26H32N2
BGC0001600	fusarielin H	molecular_formula	C25H38O3
BGC0001614	hassallidin E	molecular_formula	C64H103N11O24
BGC0001559	crocagin B	molecular_formula	C28H31N5O7
BGC0001197	frankiamicin	molecular_formula	C24H16O9
BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	molecular_formula	C12H23N5O7
BGC0000420	histidyltryptophanyldiketopiperazine	molecular_formula	C17H17N5O2
BGC0000429	Skyllamycin A	molecular_formula	C75H94N12O20
BGC0000429	Skyllamycin B	molecular_formula	C74H92N12O20
BGC0000443	thanamycin	molecular_formula	C55H88ClN11O22
