MIBiG name	MIBiG SMILES	MIBiG Inchikey	MIBiG BGC ID	NPAID	NPA name	Curated name	Curated SMILES	Curated Source Database ID	Curated doi	Curated origin	Notes
Abyssomicin C	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C	UMACIJQVMVTGCR-QANYSJTNSA-N	BGC0000001	NPA001961	Abyssomicin C						
Atrop-abyssomicin C	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C	UMACIJQVMVTGCR-QANYSJTNSA-N	BGC0000001	NPA018239	Atrop-Abyssomicin C						
aculeximycin	CCC[C@H]([C@@H](C)[C@H]([C@H](CC)/C=C/[C@@H]([C@@H](C)[C@@H]1C/C=C(/[C@H]([C@H]([C@@H](C[C@H]([C@H]([C@@H](CC2C[C@@H]([C@H]([C@](O2)(C[C@H]([C@H](CC[C@H](C[C@H](C/C=C(/C(=O)O1)\CC)O)O)C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)O)O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O)N)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C)O)O)O)O)O)O)O)C)O)O[C@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)\C)O)O)O[C@H]7C[C@]([C@@H]([C@@H](O7)C)O)(C)N	VJKZKLDZOAFAEE-HVJLGTRBSA-N	BGC0000002	NPA009222	Aculeximycin						
AF-toxin	CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O	ONOBRFRRMLDPES-BGSVYHRFSA-N	BGC0000003								Isolation reference hard to find
aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	BGC0000004	NPA014300	Aflatoxin G1						
sterigmatocystin	COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O	UTSVPXMQSFGQTM-DCXZOGHSSA-N	BGC0000011	NPA005925	Sterigmatocystin						
alternapyrone			BGC0000012			alternapyrone	CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C	57467994	https://doi.org/10.1016/j.chembiol.2005.09.015	Alternaria solani	
alternariol	CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O	CEBXXEKPIIDJHL-UHFFFAOYSA-N	BGC0000013						Biochem J. 1953 Oct; 55(3): 421–433	Alternaria tenuis	
ambruticin	CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C	TYIXBSJXUFTELJ-LQJOTGEPSA-N	BGC0000014						https://doi.org/10.7164/antibiotics.30.371	Polyangium cellulosum var. firlvum	
Amphotericin B	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	APKFDSVGJQXUKY-UPWJBAEMSA-N	BGC0000015								Isolation reference hard to find
Amphotericin B	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	APKFDSVGJQXUKY-UPWJBAEMSA-N	BGC0000016								Isolation reference hard to find
Anatoxin A	CC(=O)C1=CCC[C@@H]2CC[C@H]1N2	SGNXVBOIDPPRJJ-PSASIEDQSA-N	BGC0000017						https://doi.org/10.1139/v77-189	Anabaena flos-aquae (Lyngb.) de Bréb.	
Homoanatoxin A	CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2	VVMQRZZXKNDPOT-PSASIEDQSA-N	BGC0000017						https://doi.org/10.1002/etc.5620110306	Oscillatoria formosa	
angolamycin	CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC	KZXDKUWSAVUSKI-JQIJEIRASA-N	BGC0000018								Isolation reference hard to find
maytansine			BGC0000020			maytansine	C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O	5281828	10.1021/ja00759a054	Maytenus ovatus	
Ansamitocin P-3	C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O	OPQNCARIZFLNLF-JBHFWYGFSA-N	BGC0000020						10.1007/BF01955435	Claopodium crispifolium	
apoptolidin	C[C@@H]1/C=C(/C=C(/C=C(/C(=O)O[C@@H](C[C@@H]([C@H](CC/C=C(/C=C/[C@H]1O[C@H]2[C@H]([C@@H]([C@H]([C@@H](O2)C)OC)O)O)\C)O)OC)[C@H]([C@]3([C@@H]([C@H]([C@H]([C@H](O3)C[C@H](COC)OC4C[C@]([C@H]([C@@H](O4)C)O[C@H]5C[C@H]([C@@H]([C@H](O5)C)O)OC)(C)O)C)O)C)O)O)\C)\C)\C	WILMROCKORZEMQ-VJVIIGMYSA-N	BGC0000021	NPA013146	Apoptolidin						
asperfuranone			BGC0000022	NPA010580	Asperfuranone						
Aurafuron A	C(C)(C)C/C=C(\C)/C(O)C(C)/C=C/C=C\C(O)CC1OC(O)(C)C(=O)C=1C	AQQYZHDRTDSOER-WLUBKLLISA-N	BGC0000023	NPA001119	Aurafuron A						
aureothin	CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2	OGUMLESFFBGVOO-VJDLAWOBSA-N	BGC0000024						https://doi.org/10.1016/S0040-4020(01)92175-1	Streptomyces thioluteus	
avermectin	CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C	RRZXIRBKKLTSOM-VDYLCOMISA-N	BGC0000025								Isolation reference hard to find
Avilamycin A 	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C	XIRGHRXBGGPPKY-RTWAPUGOSA-N	BGC0000026						Buzzetti, F., Eisenberg, F., Grant, H.N., Keller-Schierlein, W., Voser, W. und Z’rihner, H. (1968) Experientia 24, 320. 	Streptomyces viridochromogenes	
