BGC0000003	DOI		10.1007/s10327-004-0170-3		
BGC0000710	Other			https://www.cheric.org/research/tech/periodicals/view.php?seq=458085	
BGC0000790	Other			https://ci.nii.ac.jp/naid/110006968014/	
BGC0001671	Other			https://macsphere.mcmaster.ca/bitstream/11375/22190/2/Walker_Chelsea_G_finalsubmission2017June_MasterofScience.pdf	
BGC0001672	Other			https://macsphere.mcmaster.ca/bitstream/11375/22190/2/Walker_Chelsea_G_finalsubmission2017June_MasterofScience.pdf	
BGC0000053	Patent				WO2006053313A2
BGC0000096	Patent				US7070980B2
BGC0000109	Patent				US7670827B2
BGC0001382	Pending				
BGC0001689	Pending				
BGC0001798	Pending				
BGC0000010	PubMed	15528514			
BGC0000011	PubMed	19537208			
BGC0000018	PubMed	18802638			
BGC0000019	PubMed	18802638			
BGC0000087	PubMed	19025863			
BGC0000088	PubMed	10334994			
BGC0000137	PubMed	16517661,20726561,25574739			
BGC0000211	PubMed	20140934			
BGC0000221	PubMed	19621341			
BGC0000236	PubMed	9531987			
BGC0000249	PubMed	8668120,8760909,9349712,11683270			
BGC0000256	PubMed	18051306			
BGC0000260	PubMed	17381736			
BGC0000263	PubMed	20140934			
BGC0000696	PubMed	15376556,19362651			
BGC0000725	PubMed	7686997			
BGC0000770	PubMed	17631048,17185554,17374131			
BGC0000775	PubMed	11043980			
BGC0000827	PubMed	17158611,25865308			
BGC0001181	PubMed	17873868			
BGC0001327	PubMed	28221346			
BGC0001328	PubMed	28221346			
BGC0001329	PubMed	28221346			
BGC0001330	PubMed	28221346			
BGC0001331	PubMed	28221346			
BGC0001332	PubMed	28221346			
BGC0001434	PubMed	28134534			
BGC0001489	PubMed	27264554			
BGC0001734	PubMed	20401392			
BGC0001806	PubMed	24222604			
BGC0000266	PubMed+DOI	11372781	10.1007/BF00596449		
BGC0000699	PubMed+DOI	19362651	10.1021/ja01544a032,10.1002/9780470149676.ch2		
BGC0000700	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0000705	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0000708	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0000709	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0000712	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0000721	PubMed+DOI	19362651	10.1002/9780470149676.ch2		
BGC0001447	PubMed+DOI	22328759,28000508	10.1177/1934578X19858210		
