[] is too short	68
None is not one of ['Resistance/immunity', 'Tailoring', 'Regulation', 'Unknown', 'Transport', 'Other enzymatic', 'Scaffold biosynthesis', 'Other', 'Precursor biosynthesis', 'Activation / processing']	7
None is not of type 'string'	61
-1 is less than the minimum of 0	23
'x' does not match '^[ABCD0123456789]{1,}$'	3
'tyrosine' is not one of ['Homoproline', 'Hydroxyasparagine', '2,3-Dehydro-2-aminobutyric acid', '2,3-Diaminopropionic acid', '2,3-Dihydroxybenzoic acid', 'N-Methyl-isoleucine', 'Beta-alanine', 'N-Methyl-phenylalanine', 'N-Methyl-valine', 'Phenylalaninol', 'Citrulline', 'Pipecolic acid', '2-Aminobutyricacid', 'N5-Hydroxyornithine', 'N-Methyl-phenylglycine', '2-Hydroxyisovalerate', 'Homoserine', 'Phenylglycine', '2-Amino-adipic-acid', '3,5-Dihydroxy-phenylglycine', '4-Hydroxyproline', 'N-Acetyl-hydroxyornithine', 'N-Methyl-hydroxyphenylglycine', 'Isovaline', 'Putrescine', 'Ornithine', 'Other', 'Hydroxy-cycloornithine', 'Kynurenine', 'Allo-threonine', '2-Aminoisobutyricacid', 'Hydroxyaspartic acid', 'N6-Formyl-hydroxyornithine', 'N-Methyl-leucine', 'N-Methyl-Glycine', '2-Hydroxy-3-methyl-pentanoic acid', '4-Hydroxyphenylglycine', 'Salicylic acid', 'Homotyrosine', '2,4-Diaminobutyric acid', 'N-Methyl-alanine', 'Beta-hydroxytyrosine']	1
'trans_at' is a required property	20
'tailoring' is a required property	6
'subclass' is a required property	8
'structure-based inference' is not one of ['Knock-out construct', 'Activity assay', 'Other', 'Sequence-based prediction', 'Structure-based inference']	1
'starter_unit' is a required property	498
'saccharide' is a required property	15
'pufa_mod_doms' is a required property	20
'publications' is a required property	128
'prot_adom_spec' is a required property	115
'prot_adom_spec' is a dependency of 'aa_type'	103
'precursor_loci' is a required property	142
'polyketide' is a required property	1
'pks_thioesterase' is a required property	56
'pks_te_type' is a required property	548
'pks_subclass' is a required property	20
'pks_other_mod_dom' is a dependency of 'pks_mod_doms'	168
'pks_evidence_skip_iter' is a required property	126
'pks_evidence_skip_iter' is a dependency of 'pks_mod_skip_iter'	123
'pk_subclass' is a required property	499
'phenylacetate-like' is not one of ['None', 'Malonyl-CoA', 'Benzoyl-CoA', 'Acetoacetyl-CoA', 'Propionyl-CoA', '3,5-AHBA-CoA', 'Aminomalonyl-CoA', 'Methylmalonyl-CoA', '3-Methylbutyryl-CoA', 'p-Aminobenzoate', 'Butyryl-ACP', 'Hexanoyl-ACP', '3-Amino-2-Methylpropionate', 'Isobutyryl-CoA', 'Trans-cyclopentane-(1R, 2R)-dicarboxylic acid', 'Ethylmalonyl-CoA', 'Hydroxymalonyl-CoA', 'Multiple (promiscuous)', 'Mycolate', 'Glycolate', 'Methoxymalonyl-CoA', 'Unknown', 'p-Coumaroyl-CoA', 'Other', 'Cyclohexylcarbonyl-CoA ', 'Acetyl-CoA', 'Malonamyl-CoA', '2-Methylbutyryl-CoA', 'p-Nitrobenzoate']	1
'personal' is a required property	1322
'partial' is not one of ['unknown', 'complete', 'incomplete']	1
'other_spec' is a dependency of 'nonprot_adom_spec'	69
'other_gt_spec' is a required property	1
'other_chem_moiety' is a dependency of 'chem_moiety'	39
'other_chem_act' is a required property	1331
'other' is not one of ['None', 'Unknown', 'Both', 'Other', 'Type I', 'Type II']	1
'other' is not one of ['Glucosinate', 'Fatty acid', 'Phosphonate', 'Phosphoglycolipid', 'Cyclitol', 'Non-NRP siderophore', 'Shikimate-derived', 'Amino acid-derived', 'Butyrolactone', 'Aminocoumarin', 'Ectoine', 'Furan', 'Homoserine lactone', 'Melanin', 'Phenazine', 'Other', 'Non-NRP beta-lactam', 'tRNA-derived', 'Nucleoside']	1
'other' is a required property	4
