property	original_value	final_value	found_in
properties.general_params.properties.compounds.items.properties.chem_act.items.enum	A modulator of apoptosis	 	BGC0000264
	Anticancer agent	 	BGC0000090
	Antiinsectan	 	BGC0001446
	Antiplasmodial	 	BGC0000154
	Antitumor	 	BGC0000206
	Antiviral	 	BGC0000519,BGC0000453,BGC0001082
	DNA-interfering	 	BGC0000241
	Formation attenuates gliotoxin biosynthesis	 	BGC0000361
	Hemolytic	 	BGC0000564
	Hepatotoxin	 	BGC0001016
	Herbicidal	 	BGC0001436
	Induciton of apoptosis	 	BGC0000204
	Induction of apoptosis	 	BGC0000204
	Inhibition of protein SUMOylation	 	BGC0000276
	Neuroprotectant	 	BGC0000973
	Neurotoxic	 	BGC0000188,BGC0000017,BGC0000887,BGC0000978
	Odorous metabolite	 	BGC0000657,BGC0000661
	P-glycoprotein-mediated multiple drug resistance	 	BGC0001467
	Pigment	 	BGC0000187,BGC0000935
	Potential UV protection	 	BGC0000285
	Protection against host immune system	 	BGC0000808
	Sodium channel blocking	 	BGC0001001
	Tumor promoter, irritant, vesicant	 	BGC0000384
	Virulence factor	 	BGC0001120
	White line formation with tolaasin; hemolytic activity	 	BGC0000462
	active in vitro against lamaria parasite Plasmodium falciparum	 	BGC0000374
	agonist of CD1d-restricted natural killer T (iNKT) cells	 	BGC0000948
	anti-HIV R5	 	BGC0000665
	anti-algal: lyses zoospores of Phytophthora sp.	 	BGC0000399
	anti-tubulin	 	BGC0000976,BGC0001165
	anti-viral	 	BGC0000230
	anticoccidial	 	BGC0000144
	antiinsectan	 	BGC0001445
	antimalarial	 	BGC0001137
	antineoplastic, immunosuppressive	 	BGC0000028
	antioomycete activity	 	BGC0001208
	antioxidant	 	BGC0000070
	antiparasitic	 	BGC0000464,BGC0001133
	antiproliferative	 	BGC0000151
	antiproliferative; anti-inflammatory; radical scavenging; UV protectant	 	BGC0000824
	antitumor	 	BGC0000224,BGC0000829
	antiviral	 	BGC0000179
	dermatotoxic	 	BGC0001108
	fluorescence	 	BGC0000180
	immunomodulatory activity	 	BGC0001450
	immunosuppressive	 	BGC0000110
	inhibits neutrophil recruitment, immunosuppressive	 	BGC0001118
	insecticidal	 	BGC0001150,BGC0001180,BGC0000337
	insecticide	 	BGC0000024
	iron chelator, coordinates Fe3+	 	BGC0000372
	moderate antagonist of dopamine 5 and 5-hydroxytryptamine 7 receptors	 	BGC0000972
	neurotoxic	 	BGC0000887
	phytotoxic	 	BGC0000631
	phytotoxicity	 	BGC0000161
	renin inhibition	 	BGC0000603
	sunscreen	 	BGC0000427
	veterinary medicine, animal husbandry,antimalaria	 	BGC0000114
	weakly bioactive against Trypanosoma brucei rhodesiense	 	BGC0001131
properties.general_params.properties.compounds.items.properties.chem_moieties.items.properties.chem_moiety.enum	(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoate	 	BGC0001437
	(2S,4S)-4-methylproline	 	BGC0000430
	1-amino-2-(N-amidino-delta3-pyrrolinyl)-ethyl	 	BGC0000297
	11,11'-dichlorochromopyrrolic acid	 	BGC0000821
	13 out of 19 amino acids are non-proteinogenic	 	BGC0000598
	18 D-configured amino acids introduced by one enzyme (PoyD)	 	BGC0000598
	18 D-configured amino acids introduced by one enzyme (PoyD),	 	BGC0000598
	2,3,5,6-tetrahydroxy-4-methylbenzoyl-CoA	 	BGC0001066
	2,5-diketopiperazine (cyclodipeptide synthase derived)	 	BGC0001468
	2,8-dihydroxymyristamide	 	BGC0000921
	2-[1-( Z )-propenyl]- cinnamoyl moiet	 	BGC0000429
	2-amino-3,5- dimethyl-4-hexenoic acid  (ADH)	 	BGC0000333
	2-amino-3-hydroxycyclopent-2-enone	 	BGC0000187
	2-amino-4-hydroxy-5,6-epoxycyclohex-2-enone	 	BGC0000187
	2-amino-9,10-epoxi-8-oxodecanoic acid	 	BGC0000370
	2-carboxy-6-hydroxy-octahydroindole	 	BGC0000297
	2-carboxy-6-hydroxyoctahydroindole	 	BGC0000298
	2-pyridone	 	BGC0001136,BGC0001049
	2-pyrroline-5-carboxylic acid	 	BGC0000921
	2S,3S-methylproline	 	BGC0001449
	3,5 dihydroxyphenylglycine	 	BGC0000289
	3,5-Dihydroxy-phenylglycine	 	BGC0000440
	3,6-dimethylsalicylate	 	BGC0001008
	3-(trans-2`-nitrocyclopropyl) alanine	 	BGC0000374
	3-OH dodecanoic acid	 	BGC0000399
	3-OH- tetradecanoic acid	 	BGC0000399,BGC0000398
	3-amino-4-hydroxybenzoic acid	 	BGC0000213,BGC0000187,BGC0001140,BGC0001156
	3-formamidosalicylate	 	BGC0000958
	4-(Z)-propenylproline	 	BGC0000374
	4-amido-2,4-pentadienoate	 	BGC0001331,BGC0001328,BGC0001329,BGC0001330,BGC0001327
	4R-methyl-L-proline	 	BGC0000338
	5,5-bicyclic carbamate	 	BGC0001149
	5-chloro-1-hydroxypyrrole-2-carboxylic acid	 	BGC0000374
	6-pentylsalicylic acid	 	BGC0001014
	7-chloro-tryptophan	 	BGC0000821
	Arsenic-Carbon bond	 	BGC0001283
	Benzoxazolinate	 	BGC0000965
	Bromophenol	 	BGC0000891
	C8 hydroxyl removal after pyran ring formation	 	BGC0000182
	Carbamoyl group	 	BGC0001099
	Chlorinated	 	BGC0000443
	D-Ala	 	BGC0000520
	D-alpha-hydroxyisovaleric acid	 	BGC0000453
	D-erythro-beta-methylaspartic acid	 	BGC0001016
	Disulfide bond	 	BGC0000993
	Disulfide bridge	 	BGC0000964
	Epoxide	 	BGC0000938
	Fumarate	 	BGC0001348
	Furane ring	 	BGC0001150
	Gamma-butyrolactone	 	BGC0000654
	Geranyl-derived spirobicylic ring	 	BGC0000168
	Indole carboxylic acid	 	BGC0000628
	L-2-amino-butyric acid	 	BGC0000952
	L-dimethylamino-phenylalanine	 	BGC0000952
	L-homotyrosine	 	BGC0000338
	L-hydroxypicolinic acid	 	BGC0000952
	L-ornithine	 	BGC0000944
	L-phenylglycine	 	BGC0000952
	L-pipecolic acid	 	BGC0000952
	Labionin	 	BGC0000519,BGC0000513
	Lanthionin	 	BGC0000513
	Lanthionine	 	BGC0000513
	N-Methyl-Tetramic acid	 	BGC0001003
	N-Oxime	 	BGC0000955
	N-prenyl	 	BGC0000483
	N-terminal lactate	 	BGC0000509
	O-methyltyrosine	 	BGC0000429
	Phosphonate	 	BGC0000938
	Terminal alkene	 	BGC0001165
	Tetronate	 	BGC0000001
	Ureido bond	 	BGC0001479
	acetylated hexosamine	 	BGC0000369
	alpha keto acids	 	BGC0000320
	aminocoumarin moiety	 	BGC0000834,BGC0000833,BGC0001154,BGC0000832
	aminocyclipentitol	 	BGC0000119
	aminocyclitol	 	BGC0000283
	aminocyclopentitol	 	BGC0000119
	angelic acid	 	BGC0000269
	beta -methylaspartate	 	BGC0000429
	beta-azatyrosine	 	BGC0000081
	beta-hydroxytyrosine	 	BGC0000419
	beta-lactam ring	 	BGC0000319,BGC0000845
