bgc_id	gene_ids
BGC0000053	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
BGC0000096	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
BGC0000097	0,1
BGC0000223	0,1,2
BGC0000251	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BGC0000274	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BGC0000298	0
BGC0000313	0
BGC0000321	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BGC0000334	0,1
BGC0000361	0
BGC0000405	0,1,2,3,4,5,6,7,8,9,10,11,12
BGC0000425	0,1,2,3,4,5,6,7
BGC0000446	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BGC0000631	0,1,2,3,4,5,6
BGC0000661	0,1,2
BGC0000685	0,1,2,3,4,5,6,7,8
BGC0000687	0,1,2,3,4,5,6
BGC0000688	0,1,2,3,4,5,6
BGC0000770	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BGC0000808	0,1,2,3,4,5,6,7,8,9
BGC0000824	0,1,2,3,4
BGC0000846	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
BGC0000893	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BGC0000900	0,1
BGC0000901	0,1,2
BGC0000958	0
BGC0001013	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
BGC0001068	0,1,2,3,4,5,6,7
BGC0001087	0,1,2,3,4,5,6,7,8,9,10,11,12,13
BGC0001109	0,1,2,3,4,5,6,7,8
BGC0001161	0
BGC0001165	0,1
BGC0001180	0,1,2,3,4
BGC0001199	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
BGC0001200	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BGC0001263	0
BGC0001328	0
BGC0001329	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
BGC0001331	0,1,2
BGC0001366	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BGC0001417	0,1,2,3,4,5,6,7
BGC0001418	0,1,2,3,4,5,6,7
BGC0001419	0,1,2,3,4,5,6,7
BGC0001420	0,1,2,3,4,5,6,7,8
BGC0001421	0,1,2,3,4,5,6,7,8
BGC0001422	0,1,2,3,4,5,6,7,8,9
BGC0001423	0,1,2,3,4,5,6,7,8
BGC0001424	0,1,2,3,4,5,6,7,8,9
BGC0001425	0,1,2,3,4,5,6,7,8
BGC0001426	0,1,2,3,4,5,6,7,8
BGC0001427	0,1,2,3,4,5,6,7,8
BGC0001428	0,1,2,3,4,5,6,7,8,9
BGC0001429	0,1,2,3,4,5,6,7
BGC0001430	0,1,2,3,4,5,6,7
BGC0001431	0,1,2,3,4,5,6,7
BGC0001432	0,1,2
BGC0001452	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
BGC0001453	0,1,2,3,4,5
BGC0001454	0
BGC0001455	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BGC0001456	0,1,2,3,4,5,6,7
BGC0001457	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
BGC0001479	3
BGC0001629	0,1,2
BGC0001638	0,1,2,3,4
BGC0001678	0
BGC0001752	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BGC0001767	0,1,2,3,4,5,6,7,8,9,10,11,12
BGC0001799	2,3,4,5,6,7,10,11
