mibig_id	nucl_acc	loc	from_gbk	from_genefinding	new_annot	re_annot
BGC0000001	JF752342.1	1-59320	28	0	0	4
BGC0000002	CP007155.1	7362971-7504512	34	0	0	0
BGC0000003	AB179766.1	1-37168	6	0	0	0
BGC0000004	AB196490.1	1-89641	23	0	0	0
BGC0000005	AF452809.1	1-17437	1	0	0	0
BGC0000006	AY510451.1	1-88318	23	0	0	0
BGC0000007	AY510452.1	1-82511	25	0	0	0
BGC0000008	AY510453.1	1-75829	23	0	0	0
BGC0000009	AY510454.1	1-75352	25	0	0	0
BGC0000010	AY510455.1	1-78264	22	0	0	0
BGC0000011	AY092402.3	1-59535	26	0	0	0
BGC0000012	AB120221.1	1-21971	5	0	0	0
BGC0000013	BN001304.1	1119810-1127658	2	0	0	0
BGC0000014	DQ897667.1	1-100708	34	0	0	0
BGC0000015	AF357202.1	1-113193	17	0	0	0
BGC0000016	AY636001.1	1-5811	3	0	0	3
BGC0000017	FJ477836.1	1-28910	15	0	0	3
BGC0000018	EU220288.1	1-42960	5	0	0	0
BGC0000019	EU232693.1	1-18038	13	0	0	0
BGC0000020	AF453501.1	1-82746	41	0	0	0
BGC0000021	JF819834.1	1-115746	39	0	0	0
BGC0000022	AACD01000015.1	111993-153232	11	0	0	0
BGC0000023	AM850130.1	1-58500	14	0	0	11
BGC0000024	AJ575648.1	1-29132	9	0	0	4
BGC0000025	AB032523.1	1-9530	9	0	0	0
BGC0000026	AF333038.2	1590-39999	40	0	3	11
BGC0000027	KC148521.1	1-80000	24	0	1	6
BGC0000028	GU390405.1	1-74009	18	0	1	17
BGC0000029	FJ872523.1	1-85059	28	0	0	28
BGC0000030	HF679027.1	100853-119287	7	0	0	0
BGC0000031	AJ580915.1	1-74787	43	0	0	3
BGC0000032	HM452329.1	1-68313	29	0	0	0
BGC0000033	AF497482.1	1-90348	74	0	0	0
BGC0000034	AY310323.2	1-138203	21	0	0	0
BGC0000035	AY509120.1	1-85915	41	0	0	0
BGC0000036	DQ116941.2	1-111968	43	0	2	0
BGC0000037	BN001301.1	139085-146905	1	0	0	0
BGC0000038	AL645882.2	6890528-6948414	24	0	0	24
BGC0000039	AB072893.1	1-38231	9	0	0	0
BGC0000040	DQ149987.1	1-99892	28	0	0	0
BGC0000041	AF098795.1	1-14402	2	0	0	0
BGC0000042	AB818354.1	1-105855	40	0	0	0
BGC0000043	GQ412749.1	1-13300	4	0	0	0
BGC0000044	CP002271.1	1916099-1937355	9	0	0	9
BGC0000045	JX971534.1	1-31000	8	0	0	0
BGC0000046	FJ977165.1	1-25000	6	0	0	4
BGC0000047	AY118081.2	1-75439	31	0	0	0
BGC0000048	DQ149246.3	1-52829	20	0	0	0
BGC0000049	DQ272521.1	1-35351	10	0	0	0
BGC0000050	DQ272520.1	1-50114	8	0	0	0
BGC0000051	KC894072.1	1-37060	10	0	0	0
BGC0000052	AY899214.1	1-161719	28	0	0	0
BGC0000053	GP697151.1	1-63201	0	24	0	0
BGC0000054	AY623658.2	1-61845	31	0	0	0
BGC0000055	AM420293.1	778214-832825	23	0	0	23
BGC0000056	AY267372.1	1-6689	3	0	0	0
BGC0000057	AACD01000135.1	122623-149174	10	0	0	7
BGC0000058	AB469193.1	1-74321	8	0	0	0
BGC0000059	BA000030.3	486648-567017	13	0	0	0
BGC0000060	HQ434551.1	1-73577	21	0	0	0
BGC0000061	AY310323.2	1-138203	21	0	0	0
BGC0000062	AF155773.5	1-75654	24	0	0	0
BGC0000063	EU449979.1	1-53327	17	0	0	0
BGC0000064	AY604568.1	1-11857	1	0	0	0
BGC0000065	GU300145.1	1-41591	30	0	0	5
BGC0000066	AY179507.1	1-69644	23	0	0	0
BGC0000067	DQ249341.1	1-75920	4	0	0	0
BGC0000068	DQ914285.1	1-28356	13	0	0	0
BGC0000069	KF479198.1	1-63402	21	0	0	0
BGC0000070	GU574478.1	1-55000	21	0	7	0
BGC0000072	KM361622.1	1-34905	7	0	0	7
BGC0000073	AB241068.1	1-107687	9	0	0	0
BGC0000074	AY947889.1	1-86941	30	0	0	0
BGC0000075	JX504844.1	1-76600	31	0	0	0
BGC0000076	EU520417.1	1-36275	9	0	0	0
BGC0000077	EU520418.1	1-42765	10	0	0	0
BGC0000078	AB767280.1	1-137957	75	0	0	0
BGC0000079	FJ545274.1	1-79604	23	0	0	0
BGC0000080	DQ897668.1	1-67323	21	0	0	0
BGC0000081	JX679499.1	1-135420	115	0	0	3
BGC0000082	EU301739.1	1-107627	43	0	0	0
BGC0000083	GQ274954.1	1-50543	9	0	0	9
BGC0000084	JQ793783.1	1-102840	32	0	0	0
BGC0000085	AB088224.2	43059-111152	30	0	0	0
BGC0000086	AB449340.1	1-81959	24	0	0	0
BGC0000087	FM173265.1	1-110927	53	0	0	0
BGC0000088	AF141924.1	1-12000	3	0	0	0
BGC0000089	AF141925.1	1-43328	14	0	0	0
BGC0000090	EU827593.1	1-100588	23	0	0	23
BGC0000091	KF711829.1	1-32132	22	0	0	0
BGC0000092	AF263245.1	1-47981	19	0	0	0
BGC0000093	FJ952082.1	1-185250	92	0	0	0
BGC0000094	AF079138.1	1-37948	7	0	0	0
BGC0000095	KC608848.1	1-2254	2	0	0	0
BGC0000096	BD420675.1	1-84428	0	43	0	0
BGC0000097	FJ872525.1	1-89357	24	0	0	24
BGC0000098	DQ176595.1	1-45000	9	0	0	0
BGC0000099	HM070047.1	1-8104	1	0	0	0
BGC0000100	AF440781.1	1-103450	34	0	0	0
BGC0000101	BN001302.1	441042-446753	2	0	13	1
BGC0000102	AB089954.2	1-58343	21	0	0	0
BGC0000103	BX649209.1	30054-137271	9	0	0	0
BGC0000104	HQ731031.1	7000-32485	8	0	0	0
BGC0000105	AF521085.1	1-132544	33	0	0	0
BGC0000106	GQ452266.1	1-106181	32	0	0	0
BGC0000107	BN001302.1	1136055-1142873	1	0	0	0
BGC0000108	HQ386234.1	1-91901	22	0	0	0
BGC0000109	AB363939.1	1-80358	12	0	0	0
BGC0000110	AM778535.1	1-38365	11	0	0	0
BGC0000111	AB097904.1	1-33079	14	0	0	0
BGC0000112	AY117439.1	10097-72712	46	0	0	46
BGC0000113	AF016585.1	1-41097	7	0	0	0
BGC0000114	DQ354110.1	1-95700	18	0	0	0
BGC0000115	AF263912.1	1-123580	22	0	0	22
BGC0000116	EU108007.1	1-125717	23	0	0	0
BGC0000117	AB070940.1	1-104326	18	0	0	0
BGC0000118	AB303063.1	1-42898	28	0	0	0
BGC0000119	FJ392609.1	1-86350	53	0	0	53
BGC0000120	KF899892.1	1-40217	15	0	0	15
BGC0000121	KC145148.1	1-49130	20	0	0	0
BGC0000122	KF739396.1	1-36839	9	0	0	2
BGC0000123	AY354515.1	1-76196	28	0	0	0
BGC0000124	HQ840721.1	1-49420	12	0	0	0
BGC0000125	AJ278573.1	1-84985	17	0	0	0
BGC0000126	AB435553.1	1-74342	8	0	0	0
BGC0000127	AF081920.3	1-33648	18	0	0	0
BGC0000128	AY394844.4	1-32800	20	0	0	0
BGC0000129	CM000174.1	3549063-3572141	9	0	0	0
BGC0000130	EF140901.1	1-55655	35	0	0	0
BGC0000131	EF140902.1	1-6280	6	0	0	0
BGC0000132	EF140903.1	1-19907	11	0	0	0
BGC0000133	JF970188.1	1-82338	36	0	0	0
BGC0000134	EU520419.1	1-31332	5	0	0	0
BGC0000135	AB568601.1	1-104853	33	0	0	0
